Trial,Episode_Return,Episode_Return_smooth,env_step
2,25,15.900000000000004,12500
2,25,16.180000000000003,12750
2,52,16.64,13000
2,18,16.64,13250
2,76,17.800000000000004,13500
2,20,18.000000000000007,13750
2,40,18.540000000000003,14000
2,30,18.9,14250
2,26,19.22000000000001,14500
2,12,19.280000000000005,14750
2,17,19.42,15000
2,14,19.480000000000004,15250
2,18,19.6,15500
2,43,20.26000000000001,15750
2,20,20.46,16000
2,14,20.540000000000003,16250
2,34,21.020000000000003,16500
2,27,21.340000000000003,16750
2,31,21.780000000000005,17000
2,61,22.620000000000005,17250
2,28,22.96,17500
2,21,23.180000000000007,17750
2,26,23.360000000000007,18000
2,18,23.44,18250
2,15,23.520000000000003,18500
2,42,24.160000000000004,18750
2,49,24.920000000000005,19000
2,31,25.24,19250
2,38,25.760000000000005,19500
2,50,26.520000000000007,19750
2,56,27.40000000000001,20000
2,51,28.24,20250
2,40,28.840000000000003,20500
2,33,29.18,20750
2,35,29.660000000000007,21000
2,38,30.260000000000005,21250
2,45,30.800000000000004,21500
2,53,31.46,21750
2,86,32.88000000000001,22000
2,36,33.18000000000001,22250
2,38,33.7,22500
2,87,35.160000000000004,22750
2,65,35,23000
2,64,36.02000000000001,23250
2,68,36.92,23500
2,126,38.88,23750
2,63,39.36000000000001,24000
2,52,39.8,24250
2,118,41.86000000000001,24500
2,35,42.2,24750
2,58,42.86,25000
2,94,44.24,25250
2,46,44.12,25500
2,61,44.98000000000001,25750
2,32,44.1,26000
2,57,44.84000000000001,26250
2,29,44.620000000000005,26500
2,65,45.32,26750
2,101,46.82,27000
2,44,47.46,27250
2,30,47.720000000000006,27500
2,62,48.68,27750
2,27,48.86,28000
2,36,48.72,28250
2,26,48.84,28500
2,68,49.92000000000001,28750
2,147,52.18,29000
2,77,53.18000000000001,29250
2,77,54.1,29500
2,59,54.06,29750
2,66,54.82,30000
2,36,55.120000000000005,30250
2,47,55.540000000000006,30500
2,81,56.8,30750
2,39,57.28,31000
2,69,57.82000000000001,31250
2,29,57.42,31500
2,70,58.2,31750
2,64,58.72,32000
2,96,59.64000000000001,32250
2,103,60.580000000000005,32500
2,84,61.24,32750
2,50,61.44000000000001,33000
2,104,62.86,33250
2,96,64.08,33500
2,47,64.25999999999999,33750
2,31,63.98000000000001,34000
2,35,63.62,34250
2,45,62.80000000000001,34500
2,136,64.80000000000001,34750
2,178,67.6,35000
2,195,69.76,35250
2,85,70.16000000000001,35500
2,85,70.58,35750
2,76,70.74000000000001,36000
2,124,70.70000000000002,36250
2,138,72.2,36500
2,139,73.94000000000001,36750
2,51,72.60000000000001,37000
2,107,74.04,37250
2,132,75.52000000000001,37500
2,163,76.9,37750
2,104,78.06,38000
2,70,78.24000000000001,38250
2,113,79.86,38500
2,118,81.08,38750
2,78,82.06,39000
2,199,84.74,39250
2,168,86.08,39500
2,169,88.58000000000001,39750
2,174,91.46,40000
2,247,95.16,40250
2,92,96.46,40500
2,94,97.62,40750
2,58,98.26,41000
2,73,98.36,41250
2,90,97.22,41500
2,41,96.5,41750
2,154,98.04000000000002,42000
2,126,99.38,42250
2,149,101.04,42500
2,120,102.72,42750
2,336,108.5,43000
2,419,115.26,43250
2,220,118.88,43500
2,254,122.58,43750
2,246,126.92,44000
2,412,133.76000000000002,44250
2,264,137.76,44500
2,405,143.94000000000003,44750
2,344,148.76,45000
2,500,157.08,45250
2,500,166.08,45500
2,500,174.00000000000003,45750
2,500,182.08,46000
2,500,191.14,46250
2,316,196.84,46500
2,233,200.8,46750
2,141,202.72,47000
2,159,203.18000000000004,47250
2,173,203.08000000000004,47500
2,188,202.94,47750
2,282,206.88,48000
2,228,209.74,48250
2,255,213.32,48500
2,323,217.3,48750
2,267,219.88,49000
2,257,222.24,49250
2,432,229.86,49500
2,309,233.9,49750
2,206,235.38,50000
2,258,237.28,50250
2,189,238.98,50500
2,341,244.4,50750
2,182,245.78,51000
2,199,247.4,51250
2,153,248.9,51500
2,135,247.62,51750
2,155,247.36,52000
2,127,246.52,52250
2,140,245.84,52500
2,162,244.14,52750
2,256,247.42,53000
2,189,249.32,53250
2,250,253.16,53500
2,152,254.74,53750
2,280,258.54,54000
2,191,261.54,54250
2,256,263.58,54500
2,182,264.7,54750
2,211,265.94,55000
2,238,268.3,55250
2,308,267.74,55500
2,223,263.82,55750
2,146,262.34000000000003,56000
2,228,261.82,56250
2,137,259.64000000000004,56500
2,135,254.1,56750
2,148,251.78,57000
2,123,246.14,57250
2,167,242.6,57500
2,238,237.36,57750
2,341,234.18,58000
2,238,228.94,58250
2,165,222.24,58500
2,189,216.02,58750
2,146,212.62,59000
2,161,211.18000000000004,59250
2,203,212.42,59500
2,140,212.04,59750
2,236,213.3,60000
2,205,213.64,60250
2,165,211.3,60500
2,260,211.94000000000003,60750
2,216,211.16,61000
2,241,209.52,61250
2,345,211.08,61500
2,248,210.9,61750
2,225,206.76,62000
2,270,205.98,62250
2,252,206.9,62500
2,190,205.54,62750
2,200,205.76,63000
2,246,203.86,63250
2,217,204.56000000000003,63500
2,194,204.46,63750
2,213,205.66000000000005,64000
2,244,207.84000000000003,64250
2,278,210.3,64500
2,166,211.08,64750
2,271,213.7,65000
2,305,216.56000000000003,65250
2,233,216.10000000000005,65500
2,340,219.12000000000003,65750
2,236,218.84,66000
2,335,222.5,66250
2,486,226.62,66500
2,406,230.92,66750
2,375,233.3,67000
2,357,236.80000000000004,67250
2,276,238.1,67500
2,269,238.72000000000008,67750
2,240,237.36,68000
2,217,237.24,68250
2,186,238.04,68500
2,225,237.98,68750
2,460,244.44,69000
2,188,245.5,69250
2,350,249.54,69500
2,500,257.08000000000004,69750
2,500,263.74,70000
2,315,265.28,70250
2,233,263.12,70500
2,284,264.04,70750
2,187,264.48,71000
2,238,265.46,71250
2,216,266.86,71500
2,270,269.0400000000001,71750
2,245,269.88,72000
2,269,272.46000000000004,72250
2,223,272.2,72500
2,265,273.4,72750
2,166,273.42,73000
2,199,272.2,73250
2,125,270.38,73500
2,187,269.3,73750
2,221,266.82,74000
2,189,265.64,74250
2,292,266.98,74500
2,232,266.22,74750
2,248,266.14,75000
2,391,270.16,75250
2,381,273.78000000000003,75500
2,278,274.42,75750
2,500,280.08000000000004,76000
2,224,280.68000000000006,76250
2,198,280.38,76500
2,207,279.64,76750
2,275,279.58,77000
2,273,281.72,77250
2,332,282.94,77500
2,238,281.6,77750
2,188,280.70000000000005,78000
2,150,276.9,78250
2,165,275.48,78500
2,185,272.48,78750
2,144,265.64000000000004,79000
2,285,263.22,79250
2,367,263.06,79500
2,206,260.04,79750
2,297,260.46,80000
2,492,264.92,80250
2,183,263.78000000000003,80500
2,15,259.74,80750
2,208,260.18,81000
2,263,260.94,81250
2,354,258.82,81500
2,202,259.1000000000001,81750
2,214,256.38,82000
2,159,249.56,82250
2,212,243.8,82500
2,131,240.12,82750
2,214,239.74,83000
2,204,238.14,83250
2,159,237.58,83500
2,105,234.92,83750
2,130,233.2,84000
2,89,229.58,84250
2,137,227.42,84500
2,93,223.9,84750
2,98,221.4,85000
2,179,219.68,85250
2,244,221.24,85500
2,161,220.48,85750
2,154,221.06,86000
2,208,221.48000000000005,86250
2,379,224.64000000000004,86500
2,389,228.64,86750
2,142,225.64,87000
2,103,223.06,87250
2,123,220.56,87500
2,90,214.54,87750
2,138,209.68,88000
2,116,206.44,88250
2,189,200.22,88500
2,153,198.8,88750
2,295,200.74000000000004,89000
2,303,202.66,89250
2,492,207,89500
2,201,205.56000000000003,89750
2,500,208.92,90000
2,176,207.68,90250
2,324,210.40000000000003,90500
2,190,211.2,90750
2,196,211.82,91000
2,119,210.5,91250
2,105,209.72000000000003,91500
2,49,205,91750
2,59,198.84,92000
2,193,198.58,92250
2,352,199.68,92500
2,212,194.08,92750
2,355,197.52000000000004,93000
2,293,203.08,93250
2,337,205.66,93500
2,304,206.48,93750
2,236,204.12000000000003,94000
2,155,203.18000000000004,94250
2,228,203.46,94500
2,227,204.82,94750
2,321,207,95000
2,338,211.14,95250
2,277,212.4,95500
2,232,212.96,95750
2,205,213.88,96000
2,330,218.38,96250
2,408,223.94000000000003,96500
2,197,226.1,96750
2,183,227.02,97000
2,159,228.34,97250
2,29,226.96000000000004,97500
2,214,227.66000000000005,97750
2,136,225.5,98000
2,24,222.76000000000005,98250
2,111,221.9,98500
2,154,220.82,98750
2,144,216.12,99000
2,132,210.98,99250
2,17,208.48,99500
2,110,208.62000000000003,99750
2,127,208.7,100000
2,105,209,100250
2,200,210.24,100500
2,153,210.98,100750
2,116,209.52,101000
2,35,207.16000000000005,101250
2,195,205.16,101500
2,115,201.4,101750
2,265,196.86,102000
2,156,195.96,102250
2,227,190.5,102500
2,154,190.06,102750
2,153,186.64,103000
2,12,183.08,103250
2,46,180.07999999999998,103500
2,34,178.38000000000002,103750
2,23,176.74,104000
2,125,178.26,104250
2,129,179.66,104500
2,33,176.46,104750
2,26,169.94,105000
2,65,166.99999999999997,105250
