instance,agent,run,seed,cost,return,done,route
Random_15_nodes,Classic_DP_base,7,10048,486.16568756103516,-486.16568756103516,True,"[14, 6, 13, 9, 2, 11, 7, 3, 12, 5, 0, 8, 10, 4, 1, 14]"
Random_15_nodes,A2C,7,10048,406.21607971191406,-406.21607971191406,True,"[14, 10, 8, 11, 7, 3, 9, 0, 6, 12, 5, 2, 13, 1, 4, 14]"
Random_15_nodes,PointerNet,7,10048,535.0,-535.0,True,"[14, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
Random_15_nodes,Heuristic,7,10048,209.39793395996094,-209.39793395996094,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,8,10049,278.0,-278.0,True,"[3, 7, 14, 10, 2, 12, 8, 4, 13, 6, 0, 9, 11, 5, 1, 3]"
Random_15_nodes,Classic_DP_base,8,10049,278.0,-278.0,True,"[3, 7, 14, 10, 2, 12, 8, 4, 13, 6, 0, 9, 11, 5, 1, 3]"
Random_15_nodes,A2C,8,10049,429.8460693359375,-429.8460693359375,True,"[3, 11, 9, 12, 8, 4, 10, 0, 7, 13, 6, 2, 14, 1, 5, 3]"
Random_15_nodes,PointerNet,8,10049,549.6421852111816,-549.6421852111816,True,"[3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 3]"
Random_15_nodes,Heuristic,8,10049,207.77524852752686,-207.77524852752686,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,9,10050,481.89963150024414,-481.89963150024414,True,"[9, 6, 14, 10, 2, 12, 7, 3, 13, 5, 0, 8, 11, 4, 1, 9]"
Random_15_nodes,Classic_DP_base,9,10050,481.89963150024414,-481.89963150024414,True,"[9, 6, 14, 10, 2, 12, 7, 3, 13, 5, 0, 8, 11, 4, 1, 9]"
Random_15_nodes,A2C,9,10050,297.0,-297.0,True,"[9, 11, 8, 12, 7, 3, 10, 0, 6, 13, 5, 2, 14, 1, 4, 9]"
